==19724== NVPROF is profiling process 19724, command: python3.6 /home/nfrumkin/gnns/pygcn/pygcn/test.py --pkl_file trained-model.pkl
==19724== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==19724== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19724== Profiling application: python3.6 /home/nfrumkin/gnns/pygcn/pygcn/test.py --pkl_file trained-model.pkl
==19724== Profiling result:
==19724== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN Xp (0)","void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=-2, int=-2>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",2,"dram_read_transactions","Device Memory Read Transactions",0,2673,1336
"TITAN Xp (0)","void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=-2, int=-2>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",2,"dram_write_transactions","Device Memory Write Transactions",0,1086,543
"TITAN Xp (0)","void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=-2, int=-2>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",2,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"TITAN Xp (0)","void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=-2, int=-2>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",2,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"TITAN Xp (0)","void kernelPointwiseApply2<TensorTakeOp<float, int, int=-2>, float, long, unsigned int, int=-2, int=-2>(OffsetInfo<int, TensorTakeOp<float, int, int=-2>, float>, OffsetInfo<int=-2, TensorTakeOp<float, int, int=-2>, long>, TensorTakeOp<float, int, int=-2>, float)",2,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"TITAN Xp (0)","void kernelReduceAll<thrust::identity<double>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, double, unsigned int, int=-2>(TensorInfo<double, ReduceAdd<double, double>>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, thrust::identity<double>, double, ReduceAdd<double, double>*)",1,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"TITAN Xp (0)","void kernelReduceAll<thrust::identity<double>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, double, unsigned int, int=-2>(TensorInfo<double, ReduceAdd<double, double>>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, thrust::identity<double>, double, ReduceAdd<double, double>*)",1,"dram_write_transactions","Device Memory Write Transactions",0,0,0
"TITAN Xp (0)","void kernelReduceAll<thrust::identity<double>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, double, unsigned int, int=-2>(TensorInfo<double, ReduceAdd<double, double>>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, thrust::identity<double>, double, ReduceAdd<double, double>*)",1,"flop_count_dp","Floating Point Operations(Double Precision)",2023,2023,2023
"TITAN Xp (0)","void kernelReduceAll<thrust::identity<double>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, double, unsigned int, int=-2>(TensorInfo<double, ReduceAdd<double, double>>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, thrust::identity<double>, double, ReduceAdd<double, double>*)",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"TITAN Xp (0)","void kernelReduceAll<thrust::identity<double>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, double, unsigned int, int=-2>(TensorInfo<double, ReduceAdd<double, double>>, ReduceAdd<double, double>, ReduceAdd<double, double>, double, thrust::identity<double>, double, ReduceAdd<double, double>*)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
